Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
2019-HWC-0000-BANFU-1761,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,23,,,,,,,
2019-HWC-0000-BANFU-1761,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Presence - Wildlife Exclusion Zones,Habituation,Domestic grass,Non-impact - Chalkball,Retreat - Walk
2019-HWC-0000-BANFU-1762,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,43,,,,,,,
2019-HWC-0000-BANFU-1762,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Impact - Chalkball,Retreat - Run
2019-HWC-0000-BANFU-1763,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Woodrat,1,Healthy,,Avoidance,Stress,Unknown,Presence of Officer/Person,Retreat - Run
2019-HWC-0000-BANFU-1765,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,39,,,,,,,
2019-HWC-0000-BANFU-1765,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Presence of Vehicle,Retreat - Walk
2019-HWC-0000-BANFU-1766,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,9,,,,,,,
2019-HWC-0000-BANFU-1766,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Presence of Officer/Person,Retreat - Walk
2019-HWC-0000-BANFU-1767,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,24,,,,,,,
2019-HWC-0000-BANFU-1767,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Healthy,,Indifferent to People/Vehicles,Habituation,Unknown,Impact - Chalkball,Retreat - Walk
2019-HWC-0000-BANFU-1768,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Mule Deer,3,,,,,,,
2019-HWC-0000-BANFU-1768,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Mule Deer,1,Healthy,,Indifferent to People/Vehicles,Habituation,Unknown,Presence of Officer/Person,Retreat - Walk
2019-HWC-0000-BANFU-1769,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,40,,,,,,,
2019-HWC-0000-BANFU-1769,2019-10-03,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,2,Healthy,,Indifferent to People/Vehicles,Habituation,Vegetation (natural),Presence of Officer/Person,Retreat - Walk
2019-HWC-0000-JASFU-2635,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,"Fruit tree, shrub or garden",,
2019-HWC-0000-JASFU-2636,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,5,,,,,,,
2019-HWC-0000-JASFU-2636,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2637,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2638,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Black Bear,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2639,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,21,,,,,,,
2019-HWC-0000-JASFU-2639,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Elk,1,,,Presence - Wildlife Exclusion Zones,,,,
2019-HWC-0000-JASFU-2640,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,8,,,,,,,
2019-HWC-0000-JASFU-2640,2019-10-03,Jasper Field Unit,Jasper National Park of Canada,Human Wildlife Interaction,Bighorn Sheep,1,,,Presence - Wildlife Exclusion Zones,,,,
